Manon : en Bac Pro Agroéquipement,1376,93,"Découvrez la story de Manon en #BacPro #Agroéquipement !

Elle, c'est Manon. Passionnée de mécanique agricole, Manon veut poursuivre ses études en BTS ACSE (Analyse et Conduite des Systèmes d'Exploitation). 

Son projet ? S'installer dans une exploitation agricole et travailler également en banque ou en assurance dans le milieu para-agricole. 

Toi aussi, tu veux faire un métier d'avenir ? Pense à l'Agroéquipement ! 

L'Aventure du vivant est la campagne de communication dédiée à l'enseignement agricole lancée par le ministère de l'agriculture et de l'alimentation. 
Suivez-nous sur : 
- Instagram & Facebook : @laventureduvivant
- Snapchat : @min_agriculture",2020-02-20 00:00:00,Ministère de l'Agriculture et de l'Alimentation,UCqiJSHUcjlGIHcejo5B1NSA,https://www.youtube.com/channel/UCqiJSHUcjlGIHcejo5B1NSA,"['BTS ACSE', 'etudiant', 'formation', 'enseignement agricole', 'lycée', 'bac pro', 'agroéquipement', 'mécanique agricole', 'métier', 'polyvalence', 'exploitation agricole', 'interview', 'portrait', ""l'aventure du vivant""]",GUAgeiFrdzY
les métiers de l'agroéquipement.,4018,86,"Pour recevoir mes meilleures vidéos régulièrement cliquez sur ce lien  : https://agriculteurdaujourdhui.com/inscription/

Vous pouvez voir d'autres vidéos sur mon site : https://agriculteurdaujourdhui.com/
Nous suivre sur Facebook : https://www.facebook.com/agriculteurdaujourdhui
ou encore sur twitter : https://twitter.com/agriculteuraujo

Si vous aimez ces vidéos, n'hésitez pas à partager ou liker.",2018-03-27 00:00:00,Thierry agriculteur d'aujourd'hui,UCKpXbgTztfWrrNLx4w1EYKw,https://www.youtube.com/channel/UCKpXbgTztfWrrNLx4w1EYKw,"['agriculture', 'agriculteur', 'moderne', 'agricoles', 'matériel', 'machines', 'tracteur', 'métiers en agriculture', 'agroéquipement', 'machinisme agricole', ""métiers de l'agriéquipement"", 'chaufeur de tracteur', 'mécanicien agricole', 'ouvrier agricole', 'axema', 'commercial', 'démonstarteur agricole', 'démonstrateur machine', ""les métiers de l'agroéquipement.""]",GyCN1iDbd6o
BAC Pro Agro-équipement Scolaire,1190,164,,2021-01-28 00:00:00,Lycée Saint-Clair,UCV-njQIAL_L1ubn-e2463JA,https://www.youtube.com/channel/UCV-njQIAL_L1ubn-e2463JA,[],9gmxg8czgNg
bac pro Agroéquipement,287,90,Présentation de la formation Bac Pro Agroéquipement au LEAP de Savy Berlette,2020-03-18 00:00:00,LEAP SAVY BERLETTE,UCoUe8r0hse7eal-KzmdkujA,https://www.youtube.com/channel/UCoUe8r0hse7eal-KzmdkujA,[],BHWCE8Ppfng
AgroCampus La Germinière - Les ateliers agroéquipement,544,106,"3000m² d'ateliers agroéquipement qui disposent d'équipements modernes, innovants, intégrants les nouvelles technologies :
- des simulateurs de conduite, drones, impression 3D, Dessin Assisté par Ordinateur (DAO)
- une halle de maintenance et de mécanique
- des ateliers parcs et jardins
- un atelier de travail du métal
- un parc de matériel intégrant les technologies récentes (GPS, autoguidage, modulation de doses...) adossé à un terrain d'application de 5000m²",2021-02-03 00:00:00,Lycée La Germinière,UCPQazVBeoj3bgRx7pmTzurg,https://www.youtube.com/channel/UCPQazVBeoj3bgRx7pmTzurg,[],Ld7SIh8BHAU
Route orientation Agroéquipement,117,177,,2021-03-11 00:00:00,Lpa Mugron,UCNXeJV9c81QxRWdj3R6cwMA,https://www.youtube.com/channel/UCNXeJV9c81QxRWdj3R6cwMA,[],dX_MLHQa_B0
CAP BPA Apprentissage - Agroéquipement,45,78,,2020-05-02 00:00:00,Campus Terre & Nature,UCofpp346LRxvA0STlE5_Giw,https://www.youtube.com/channel/UCofpp346LRxvA0STlE5_Giw,[],m2EXKmLZ7jY
Les métiers de l'agroéquipement,6623,192,,2009-12-17 00:00:00,fdmf35,UC-9bMa5FJ6egFk9d-wWfk3w,https://www.youtube.com/channel/UC-9bMa5FJ6egFk9d-wWfk3w,"['agroéquipement', 'matériel agricole', 'tracteur']",CpUPIttBvkE
Salle de classe Agroéquipement,46,61,,2021-04-08 00:00:00,Lycée Agricole Gignac,UCijjVmjpENHMV9d8B3UYsDg,https://www.youtube.com/channel/UCijjVmjpENHMV9d8B3UYsDg,[],1kbQkNApgqc
Formation agroéquipements à l'Issat !,145,55,,2020-05-15 00:00:00,Lycée ISSAT Redon,UCoxLdW6mTdCsuXE37UVL-XQ,https://www.youtube.com/channel/UCoxLdW6mTdCsuXE37UVL-XQ,[],hqk1xJuLJy0
Ateliers agroéquipement,39,53,,2021-04-08 00:00:00,Lycée Agricole Gignac,UCijjVmjpENHMV9d8B3UYsDg,https://www.youtube.com/channel/UCijjVmjpENHMV9d8B3UYsDg,[],wGKgM2DFUEQ
L’agroéquipement : des postes à pourvoir chaque année !,3594,164,"Dans un pays agricole comme la France, l’agro-équipement est un secteur en pleine croissance. De nombreux postes sont à pourvoir au sein de toutes les régions et dans une large palette de métiers. Les équipes de Défense Mobilité se sont donc rendues sur le terrain pour vous les faire découvrir.",2016-05-24 00:00:00,Défense mobilité,UCtM9JA5PIRqTajiwcLpphpA,https://www.youtube.com/channel/UCtM9JA5PIRqTajiwcLpphpA,"['Défesne mobilité', 'agro-equipement', 'militaires', 'candidats', 'reconversion']",rGl0nImwVeQ
Le Brevet Professionnel Agroéquipement du CFA de Nozay / 📽 Je Filme ma Formation Concours 🎬,2828,178,"Nous sommes apprentis en BP Agro-équipement  au CFA Nozay (Loire-Atlantique) et nous avons décidé de participer au concours "" Je filme ma formation"".📽

Notre vidéo réalisée entièrement par nous 5 (scénario, film et montage).🎬 avec la participation de Agri Marsacais 44 😉👍

Le but de cette vidéo pour nous, est de mieux faire connaître la formation du BP Agroéquipement, qui marie la théorie avec la pratique notamment en alternant CFA et  entreprise (ETA, CUMA ou exploitation agricole). 
Cette formation nous donne la possibilité de mettre aussitôt en pratique ce que nous apprenons au CFA .
Nous espérons que par nos témoignages, ce film donne l'envie à d'autres jeunes de s'orienter vers l'agro-équipement en apprentissage 

Théo Brard, Pablo Dudouet, Samuel Gérard, Dylan Nouteau et Ancelin Suriray
Apprentis 2ème année en BP Agro-équipement au CFA  Nantes-Terre-Atlantique site de Nozay.",2021-02-14 00:00:00,Agri Marsacais 44,UCEYzrKNknm8E09wkuwaJbkA,https://www.youtube.com/channel/UCEYzrKNknm8E09wkuwaJbkA,[],aamfdiinqoA
Brevet Professionnel Agricole par apprentissage -  Agroéquipement - TCEEA,27,71,,2021-03-01 00:00:00,Campus Terre & Nature,UCofpp346LRxvA0STlE5_Giw,https://www.youtube.com/channel/UCofpp346LRxvA0STlE5_Giw,[],SAFg8zPRSAI
